id,user_id,vehicle_model,battery_capacity_kwh,charging_station_id,charging_station_location,charging_start,charging_end,energy_consumed,charging_duration_hours,charging_rate_kw,charging_cost_usd,time_of_day,day_of_week,soc_start_pct,soc_end_pct,distance_km,temperature_c,vehicle_age_years,charger_type,user_type
15,User_15,BMW i3,85,Station_96,Houston,2024-01-01 14:00,2024-01-01 17:32,12.93,3.42,24.21,18.55,Afternoon,Monday,71.68,63.71,155.4,39.5,4,Level 1,Casual Driver
16,User_16,Nissan Leaf,100,Station_147,Los Angeles,2024-01-01 15:00,2024-01-01 17:19,27.35,2.7,11.11,33.09,Evening,Monday,10.68,72.4,247.7,-8.3,2,DC Fast Charger,Long-Distance Traveler
17,User_17,BMW i3,98,Station_2,New York,2024-01-01 16:00,2024-01-01 18:02,24.73,3.46,49.4,17.49,Evening,Thursday,67.59,89.94,237.3,4.4,7,DC Fast Charger,Commuter
18,User_18,Hyundai Kona,50,Station_10,Chicago,2024-01-01 17:00,2024-01-01 20:13,23.82,0.85,6.61,6.43,Evening,Friday,57.6,74.96,22,18.4,6,Level 2,Casual Driver
19,User_19,Tesla Model 3,100,Station_434,New York,2024-01-01 18:00,2024-01-01 21:03,42.64,0.81,20.49,25.08,Evening,Saturday,55.52,52.71,280.9,37.4,0,Level 1,Long-Distance Traveler
20,User_20,BMW i3,50,Station_125,Los Angeles,2024-01-01 19:00,2024-01-01 20:22,48.48,2.58,45.29,7.09,Morning,Wednesday,12.75,116.1,243.3,9.2,3,Level 2,Long-Distance Traveler
21,User_21,Nissan Leaf,50,Station_81,Los Angeles,2024-01-01 20:00,2024-01-01 22:54,50.28,3.17,30.49,28.87,Night,Tuesday,16.55,77.94,15.4,34,3,Level 2,Casual Driver
22,User_22,Hyundai Kona,62,Station_485,New York,2024-01-01 21:00,2024-01-01 22:55,59.14,2.93,0,34.85,Evening,Sunday,71.53,75.97,219.6,-2.8,5,Level 1,Commuter
23,User_23,BMW i3,75,Station_140,Chicago,2024-01-01 22:00,2024-01-02 01:02,49.2,2.56,19.19,14.86,Afternoon,Saturday,49.02,64.48,298.2,40,4,DC Fast Charger,Long-Distance Traveler
24,User_24,Tesla Model 3,100,Station_326,New York,2024-01-01 23:00,2024-01-01 23:31,68.45,2.07,49.71,38.41,Morning,Friday,19.23,74.01,280.9,3.6,5,DC Fast Charger,Commuter
25,User_25,Tesla Model 3,100,Station_150,Houston,2024-01-02 00:00,2024-01-02 01:55,27.6,0.96,11.24,24.04,Morning,Wednesday,65.49,65.35,173.5,36,4,Level 1,Long-Distance Traveler
26,User_26,Chevy Bolt,75,Station_288,San Francisco,2024-01-02 01:00,2024-01-02 03:42,40.18,3.6,12.32,38.76,Morning,Saturday,80.34,80,82.8,21.5,1,DC Fast Charger,Commuter
27,User_27,Chevy Bolt,75,Station_361,Houston,2024-01-02 02:00,2024-01-02 02:33,43.49,3.65,36.18,27.45,Afternoon,Thursday,88.75,87.82,80.9,29.9,0,Level 1,Commuter
28,User_28,Nissan Leaf,50,Station_340,San Francisco,2024-01-02 03:00,2024-01-02 06:13,10.34,1.55,45.78,9.86,Night,Sunday,98.33,94.5,162.7,5.5,0,Level 1,Long-Distance Traveler
29,User_29,BMW i3,75,Station_129,Los Angeles,2024-01-02 04:00,2024-01-02 04:35,31.68,2.44,48.65,25.62,Afternoon,Friday,34.73,54.4,0,20.4,3,Level 2,Casual Driver
30,User_30,BMW i3,75,Station_438,Chicago,2024-01-02 05:00,2024-01-02 07:58,56.59,3.15,45.81,33.13,Afternoon,Friday,29.21,85.01,186.2,12.3,0,DC Fast Charger,Casual Driver
31,User_31,Chevy Bolt,100,Station_239,New York,2024-01-02 06:00,2024-01-02 09:54,19.47,1.44,7.04,36.95,Afternoon,Wednesday,31.32,78.06,0,8.4,2,DC Fast Charger,Casual Driver
32,User_32,BMW i3,100,Station_58,Chicago,2024-01-02 07:00,2024-01-02 09:27,38.29,2.01,12.06,17.01,Evening,Wednesday,75.64,65.62,238.9,2.3,6,Level 1,Commuter
33,User_33,BMW i3,100,Station_198,New York,2024-01-02 08:00,2024-01-02 09:58,16.14,1.31,21.52,26.44,Evening,Monday,23.6,88.2,35.5,39.4,1,Level 2,Casual Driver
34,User_34,Tesla Model 3,62,Station_211,Houston,2024-01-02 09:00,2024-01-02 12:03,60.07,1,7.65,18.03,Afternoon,Monday,22.88,51.43,46.4,14,1,Level 2,Casual Driver
35,User_35,Chevy Bolt,75,Station_402,Houston,2024-01-02 10:00,2024-01-02 13:32,57.72,1.87,4.49,35.5,Afternoon,Friday,41.87,79.65,157.6,28.4,2,DC Fast Charger,Long-Distance Traveler
36,User_36,Hyundai Kona,75,Station_390,New York,2024-01-02 11:00,2024-01-02 14:16,37.37,2.89,18.87,29.87,Evening,Tuesday,24.49,73.38,76.2,59.9,4,Level 1,Commuter
37,User_37,Chevy Bolt,75,Station_45,Chicago,2024-01-02 12:00,2024-01-02 15:10,39.94,3.47,28.63,15.86,Evening,Thursday,85.86,50.4,102.4,31.5,1,DC Fast Charger,Casual Driver
38,User_38,Hyundai Kona,75,Station_97,New York,2024-01-02 13:00,2024-01-02 13:43,73.39,1.04,38.45,15.88,Night,Wednesday,49.28,94.6,42.1,33.9,6,DC Fast Charger,Long-Distance Traveler
39,User_39,Tesla Model 3,85,Station_279,Los Angeles,2024-01-02 14:00,2024-01-02 15:25,61.52,1.28,12.51,26.51,Afternoon,Monday,87.98,79.39,141.2,5.8,7,Level 2,Commuter
40,User_40,Nissan Leaf,100,Station_23,Houston,2024-01-02 15:00,2024-01-02 16:50,68.18,3.24,23.31,8.5,Morning,Thursday,17.04,56.08,130.4,-3.2,2,Level 2,Long-Distance Traveler
41,User_41,BMW i3,80,Station_410,Los Angeles,2024-01-02 16:00,2024-01-02 18:58,67.52,1.96,6.9,29.22,Night,Sunday,80.86,62.53,119.6,35.2,2,Level 2,Casual Driver
42,User_42,Tesla Model 3,100,Station_461,Houston,2024-01-02 17:00,2024-01-02 18:15,39.4,2.4,20.46,26.62,Morning,Saturday,28.25,96.29,111,19.8,3,Level 2,Commuter
43,User_43,BMW i3,85,Station_391,Houston,2024-01-02 18:00,2024-01-02 20:53,12.05,1.37,29.47,32.04,Night,Saturday,36.64,66.98,83.2,39.4,4,Level 1,Commuter
44,User_44,Nissan Leaf,49,Station_335,San Francisco,2024-01-02 19:00,2024-01-02 19:45,77.05,3.03,8.39,6.36,Afternoon,Friday,15.14,84.34,144,22.1,1,DC Fast Charger,Casual Driver
45,User_45,Nissan Leaf,75,Station_44,Los Angeles,2024-01-02 20:00,2024-01-02 22:29,0,3.3,5.11,30.04,Morning,Wednesday,15.22,132.95,49.4,32,4,Level 2,Long-Distance Traveler
46,User_46,Tesla Model 3,62,Station_27,Los Angeles,2024-01-02 21:00,2024-01-02 22:53,46.81,3.88,16.92,10.61,Evening,Saturday,49.3,90.97,210.2,0,1,DC Fast Charger,Commuter
47,User_47,Nissan Leaf,75,Station_282,San Francisco,2024-01-02 22:00,2024-01-03 01:06,67.48,2.11,49.6,19.03,Night,Sunday,63.04,81.75,97.5,3.2,5,Level 1,Commuter
48,User_48,Hyundai Kona,62,Station_97,Chicago,2024-01-02 23:00,2024-01-02 23:37,30.71,1.63,6.35,18.13,Morning,Wednesday,76.12,76.68,18.9,27.9,0,Level 2,Commuter
49,User_49,Nissan Leaf,85,Station_463,Los Angeles,2024-01-03 00:00,2024-01-03 01:57,0,1.74,14.15,13.11,Night,Monday,77.81,87.95,212.9,-4.4,1,Level 1,Casual Driver
50,User_50,BMW i3,100,Station_36,New York,2024-01-03 01:00,2024-01-03 03:40,8.71,2.21,49.28,9.64,Afternoon,Saturday,27.2,86.89,170.5,5.4,6,Level 2,Long-Distance Traveler
51,User_51,BMW i3,85,Station_109,San Francisco,2024-01-03 02:00,2024-01-03 02:48,9.07,0.51,40.18,24.5,Morning,Tuesday,13.87,93.63,226.2,30.7,3,DC Fast Charger,Casual Driver
52,User_52,BMW i3,50,Station_55,Los Angeles,2024-01-03 03:00,2024-01-03 05:06,58.73,1.89,13.18,28.1,Morning,Saturday,83.86,71.37,57.4,1.9,3,Level 1,Commuter
53,User_53,BMW i3,50,Station_192,Chicago,2024-01-03 04:00,2024-01-03 05:35,65.99,3.31,46.28,18.85,Morning,Wednesday,17.39,73.44,235,-7.7,0,Level 2,Long-Distance Traveler
54,User_54,Hyundai Kona,62,Station_219,Los Angeles,2024-01-03 05:00,2024-01-03 06:48,75,1.91,35.93,34.09,Night,Tuesday,87.29,80.42,51.8,17.8,5,DC Fast Charger,Long-Distance Traveler
55,User_55,Chevy Bolt,100,Station_185,Houston,2024-01-03 06:00,2024-01-03 07:55,17.77,3.31,34.46,9.8,Evening,Thursday,27.7,70.51,166.3,19.7,4,DC Fast Charger,Casual Driver
56,User_56,Tesla Model 3,77,Station_69,New York,2024-01-03 07:00,2024-01-03 09:33,50.27,1.68,36.3,38.94,Evening,Saturday,13.49,82.7,134,3,0,DC Fast Charger,Casual Driver
57,User_57,BMW i3,70,Station_317,San Francisco,2024-01-03 08:00,2024-01-03 11:51,76.45,3.87,11.34,30.19,Evening,Wednesday,63.67,55.39,191.9,10.4,2,Level 2,Commuter
58,User_58,Nissan Leaf,62,Station_130,Houston,2024-01-03 09:00,2024-01-03 12:59,77.86,0.92,47.15,28.3,Afternoon,Saturday,56.92,57.47,129.4,38.5,3,DC Fast Charger,Casual Driver
59,User_59,BMW i3,100,Station_55,Chicago,2024-01-03 10:00,2024-01-03 12:59,21.89,1.29,25.37,8.64,Morning,Saturday,80.23,64.67,148.4,5.1,7,DC Fast Charger,Casual Driver
60,User_60,Nissan Leaf,100,Station_378,Houston,2024-01-03 11:00,2024-01-03 12:15,71.28,2.41,40.62,6.74,Evening,Wednesday,26.16,89.92,140.5,33.1,5,Level 2,Casual Driver
61,User_61,Nissan Leaf,62,Station_97,Houston,2024-01-03 12:00,2024-01-03 14:22,21.83,2.08,26.51,36.07,Evening,Tuesday,33.26,51.5,48,38.7,7,Level 1,Casual Driver
62,User_62,BMW i3,75,Station_336,Chicago,2024-01-03 13:00,2024-01-03 15:00,62.72,2.12,31,30.04,Morning,Monday,82.84,72.83,282.9,32.9,7,DC Fast Charger,Casual Driver
63,User_63,Hyundai Kona,124,Station_87,Houston,2024-01-03 14:00,2024-01-03 16:50,46.2,0.65,47.88,30.86,Afternoon,Sunday,53.01,59.9,25,6.2,1,Level 2,Commuter
64,User_64,Nissan Leaf,100,Station_294,San Francisco,2024-01-03 15:00,2024-01-03 16:02,29.35,2.48,6.87,24.65,Night,Saturday,85.33,67.48,127,34.1,0,Level 1,Long-Distance Traveler
65,User_65,Nissan Leaf,50,Station_119,Los Angeles,2024-01-03 16:00,2024-01-03 18:42,76.93,2.12,34.18,34.23,Night,Friday,27.17,92.14,295.9,7.9,3,DC Fast Charger,Casual Driver
66,User_66,BMW i3,62,Station_208,Houston,2024-01-03 17:00,2024-01-03 18:46,59.25,1.28,0,12.22,Night,Thursday,77.04,91.83,167.3,35.3,7,Level 2,Long-Distance Traveler
67,User_67,Nissan Leaf,100,Station_334,San Francisco,2024-01-03 18:00,2024-01-03 21:04,37.06,1.61,15.23,37.88,Morning,Wednesday,7.52,67.8,98.1,16.5,2,Level 2,Long-Distance Traveler
68,User_68,Nissan Leaf,85,Station_413,Los Angeles,2024-01-03 19:00,2024-01-03 21:30,67.7,0.86,32.98,13.78,Afternoon,Saturday,22.49,86.78,81.3,-7.3,6,DC Fast Charger,Casual Driver
69,User_69,BMW i3,75,Station_154,Los Angeles,2024-01-03 20:00,2024-01-03 22:37,16.41,1.7,0,21.67,Morning,Sunday,36.95,77.14,188.5,18.5,7,Level 1,Casual Driver
70,User_70,BMW i3,50,Station_35,Houston,2024-01-03 21:00,2024-01-03 22:47,67.01,3.61,4.09,14.42,Night,Monday,57.68,57.11,276.4,-2.7,4,Level 1,Long-Distance Traveler
71,User_71,Tesla Model 3,75,Station_79,San Francisco,2024-01-03 22:00,2024-01-04 01:01,70.62,3.28,26.07,15.47,Evening,Wednesday,86.23,57.97,23,34.8,3,Level 1,Commuter
72,User_72,Hyundai Kona,75,Station_67,Houston,2024-01-03 23:00,2024-01-04 00:36,61.13,0.95,23.28,37.15,Evening,Saturday,34.9,92.36,58.9,7.7,1,DC Fast Charger,Long-Distance Traveler
73,User_73,Hyundai Kona,85,Station_343,Chicago,2024-01-04 00:00,2024-01-04 02:24,22.88,1.57,29.99,10.71,Evening,Thursday,15.67,96.6,98.5,19.2,3,DC Fast Charger,Commuter
74,User_74,Nissan Leaf,60,Station_413,Los Angeles,2024-01-04 01:00,2024-01-04 02:32,12.89,0.58,40.88,15.2,Night,Friday,31.55,97.46,183.2,28.6,2,Level 1,Long-Distance Traveler
75,User_75,Hyundai Kona,85,Station_34,Houston,2024-01-04 02:00,2024-01-04 04:22,69.17,2.29,5.56,20.77,Afternoon,Wednesday,41.09,74.4,276.6,20,4,Level 1,Casual Driver
76,User_76,Nissan Leaf,50,Station_97,Los Angeles,2024-01-04 03:00,2024-01-04 05:03,0,3.52,9.57,24.79,Night,Saturday,51.28,93.2,171.9,-5.3,4,Level 1,Commuter
77,User_77,Tesla Model 3,100,Station_169,San Francisco,2024-01-04 04:00,2024-01-04 05:17,49.28,3.87,49.41,39.93,Morning,Tuesday,86.33,75.5,246.3,30.1,0,Level 1,Long-Distance Traveler
78,User_78,BMW i3,75,Station_169,New York,2024-01-04 05:00,2024-01-04 08:40,31.22,3.34,30.03,17.6,Afternoon,Monday,39.52,71.27,242.5,39.8,3,Level 2,Commuter
79,User_79,BMW i3,100,Station_151,Houston,2024-01-04 06:00,2024-01-04 09:55,30.65,1.03,28.52,39.32,Evening,Friday,38.12,81.2,12.1,-4.9,1,DC Fast Charger,Casual Driver
80,User_80,BMW i3,75,Station_71,Houston,2024-01-04 07:00,2024-01-04 07:41,59.99,3.73,23.42,15.68,Afternoon,Wednesday,88.1,96.13,281.8,15.1,0,Level 1,Commuter
81,User_81,Hyundai Kona,48,Station_3,Los Angeles,2024-01-04 08:00,2024-01-04 11:05,51.67,0.69,46.6,18.01,Afternoon,Saturday,55.07,62.94,222.3,2.6,7,Level 2,Casual Driver
82,User_82,Tesla Model 3,50,Station_314,San Francisco,2024-01-04 09:00,2024-01-04 12:21,35.91,2.73,25.6,19.28,Night,Friday,48.89,43.05,93.9,33.1,6,Level 1,Casual Driver
83,User_83,Hyundai Kona,85,Station_32,Chicago,2024-01-04 10:00,2024-01-04 13:20,41.61,0.81,0,29.53,Afternoon,Tuesday,55,97.26,94.6,17.7,3,Level 1,Commuter
84,User_84,Hyundai Kona,62,Station_287,San Francisco,2024-01-04 11:00,2024-01-04 13:54,32.83,3.41,44.49,39.67,Night,Wednesday,26.65,63.71,279.9,5.8,1,Level 2,Casual Driver
85,User_85,Tesla Model 3,50,Station_82,Houston,2024-01-04 12:00,2024-01-04 13:09,57.92,1.26,12.54,19.82,Morning,Friday,49.87,54.26,64.1,1.8,1,Level 1,Casual Driver
86,User_86,Tesla Model 3,100,Station_43,Chicago,2024-01-04 13:00,2024-01-04 16:26,21.66,1.89,32.95,18.03,Afternoon,Wednesday,78.43,97.73,170.6,10.4,3,Level 1,Casual Driver
87,User_87,Tesla Model 3,62,Station_391,San Francisco,2024-01-04 14:00,2024-01-04 15:54,41.01,3.37,45.32,18.07,Afternoon,Wednesday,73.62,83.05,103.8,-4.6,3,Level 2,Commuter
88,User_88,Tesla Model 3,62,Station_105,New York,2024-01-04 15:00,2024-01-04 16:26,79.82,2.61,13.01,35.97,Afternoon,Friday,86.11,69.4,274,10.7,2,Level 2,Casual Driver
89,User_89,BMW i3,85,Station_1,Los Angeles,2024-01-04 16:00,2024-01-04 17:56,33.07,1.47,30.34,15.55,Evening,Wednesday,105.03,83.02,164.7,-6.5,1,Level 2,Long-Distance Traveler
90,User_90,Chevy Bolt,75,Station_61,San Francisco,2024-01-04 17:00,2024-01-04 18:53,27.84,2.54,17,12.28,Night,Tuesday,47.99,85.87,79.4,7.5,7,Level 2,Casual Driver
91,User_91,Chevy Bolt,50,Station_270,San Francisco,2024-01-04 18:00,2024-01-04 21:41,28.44,1.08,42.43,13.78,Night,Friday,13.67,96.35,398.4,27.8,0,Level 2,Long-Distance Traveler
92,User_92,Tesla Model 3,62,Station_180,New York,2024-01-04 19:00,2024-01-04 22:52,68.57,2.93,5.45,15.89,Evening,Saturday,50.32,93.89,191.5,37.9,4,Level 1,Commuter
93,User_93,Chevy Bolt,85,Station_224,Houston,2024-01-04 20:00,2024-01-04 23:34,65.43,0.93,20.27,10.4,Night,Sunday,76.47,75.85,71.4,30.2,6,DC Fast Charger,Long-Distance Traveler
94,User_94,Chevy Bolt,75,Station_6,Los Angeles,2024-01-04 21:00,2024-01-04 23:30,71.62,3.52,31.27,21.26,Morning,Friday,51.79,64.55,16.7,-1.7,3,Level 2,Casual Driver
95,User_95,Tesla Model 3,85,Station_103,San Francisco,2024-01-04 22:00,2024-01-05 01:51,7.93,2.34,44.12,33.82,Evening,Tuesday,42.74,72.97,55.7,16.8,7,DC Fast Charger,Casual Driver
96,User_96,Chevy Bolt,25,Station_10,Chicago,2024-01-04 23:00,2024-01-05 00:43,0,1.38,32.44,38.06,Night,Tuesday,48.33,85.07,0,23.4,5,Level 1,Casual Driver
97,User_97,Hyundai Kona,75,Station_71,San Francisco,2024-01-05 00:00,2024-01-05 02:16,55.73,3.83,21.72,38.09,Morning,Tuesday,63.4,68.35,74.1,34.7,0,Level 2,Casual Driver
98,User_98,Nissan Leaf,85,Station_90,Los Angeles,2024-01-05 01:00,2024-01-05 03:33,31.05,0.69,28,6.25,Night,Saturday,47.16,66.19,0,15.6,7,DC Fast Charger,Casual Driver
99,User_99,Nissan Leaf,62,Station_226,San Francisco,2024-01-05 02:00,2024-01-05 05:47,15.92,3.35,17.55,9.53,Evening,Saturday,80.2,73.22,117.8,15.4,1,DC Fast Charger,Casual Driver
100,User_100,Tesla Model 3,100,Station_158,New York,2024-01-05 03:00,2024-01-05 05:09,50.9,3.62,0,28.34,Night,Sunday,54.45,60.56,10.4,30,7,DC Fast Charger,Commuter
101,User_101,BMW i3,77,Station_228,San Francisco,2024-01-05 04:00,2024-01-05 07:53,71.48,0.65,0,11.36,Morning,Sunday,27.58,53.79,197.6,29,3,DC Fast Charger,Casual Driver
102,User_102,Tesla Model 3,100,Station_405,San Francisco,2024-01-05 05:00,2024-01-05 06:12,74.15,4.12,31.28,26,Morning,Wednesday,12.96,52.99,91.4,35.8,0,DC Fast Charger,Long-Distance Traveler
103,User_103,BMW i3,75,Station_126,Chicago,2024-01-05 06:00,2024-01-05 08:28,46.78,3.12,32.08,18.59,Morning,Wednesday,77.52,56.73,246.2,27.3,4,Level 2,Long-Distance Traveler
104,User_104,Nissan Leaf,95,Station_444,New York,2024-01-05 07:00,2024-01-05 07:52,8.47,1.96,16.02,31.24,Night,Thursday,84.4,73.57,297.6,22.2,1,Level 2,Long-Distance Traveler
105,User_105,Tesla Model 3,85,Station_209,New York,2024-01-05 08:00,2024-01-05 11:04,61.7,2.53,30.78,22.49,Evening,Sunday,84.27,57.22,208.6,28.3,6,Level 2,Commuter
106,User_106,Hyundai Kona,62,Station_97,San Francisco,2024-01-05 09:00,2024-01-05 12:35,41.26,3.6,29.08,29.02,Night,Sunday,64.42,73.24,268.5,19.6,6,DC Fast Charger,Long-Distance Traveler
107,User_107,Chevy Bolt,85,Station_74,Chicago,2024-01-05 10:00,2024-01-05 11:06,6.5,1.49,35.93,35.24,Afternoon,Wednesday,67.52,57.35,204.8,36,6,DC Fast Charger,Long-Distance Traveler
108,User_108,BMW i3,147,Station_115,San Francisco,2024-01-05 11:00,2024-01-05 13:43,65.89,3.15,24.83,11.04,Evening,Tuesday,27.38,64.7,74.9,13.4,6,Level 1,Long-Distance Traveler
109,User_109,Chevy Bolt,50,Station_191,San Francisco,2024-01-05 12:00,2024-01-05 13:34,13.26,3.07,47.67,32.91,Afternoon,Thursday,25,90.02,220.7,31.9,3,DC Fast Charger,Commuter
110,User_110,Chevy Bolt,85,Station_495,Los Angeles,2024-01-05 13:00,2024-01-05 15:43,0,3.29,49.88,13.28,Night,Sunday,59.85,56.29,137.1,0,5,Level 1,Long-Distance Traveler
111,User_111,Tesla Model 3,62,Station_170,Los Angeles,2024-01-05 14:00,2024-01-05 17:27,27.43,0.91,32.17,19.78,Evening,Tuesday,74.65,10.08,216.1,-4.2,5,Level 1,Long-Distance Traveler
112,User_112,Chevy Bolt,100,Station_307,Chicago,2024-01-05 15:00,2024-01-05 15:51,7.36,2.43,11.48,13.79,Afternoon,Monday,77.49,71.63,166.7,-7.8,5,Level 2,Commuter
113,User_113,Hyundai Kona,100,Station_448,Houston,2024-01-05 16:00,2024-01-05 18:14,36.14,2.45,36.38,7.87,Night,Sunday,48.61,95.83,48.1,32.3,1,DC Fast Charger,Casual Driver
114,User_114,Chevy Bolt,85,Station_204,Los Angeles,2024-01-05 17:00,2024-01-05 18:57,29.17,1.84,28.5,9.16,Evening,Saturday,64.07,83.79,242,42.7,5,DC Fast Charger,Long-Distance Traveler
115,User_115,Tesla Model 3,85,Station_56,Houston,2024-01-05 18:00,2024-01-05 21:02,43.45,1.41,0,34.68,Morning,Friday,55.71,52.81,38.2,19.9,5,Level 1,Casual Driver
116,User_116,Hyundai Kona,100,Station_208,New York,2024-01-05 19:00,2024-01-05 21:34,26.87,2.46,12.05,17.54,Morning,Monday,28.18,54.56,289.6,7.8,3,Level 1,Long-Distance Traveler
117,User_117,Nissan Leaf,85,Station_41,Los Angeles,2024-01-05 20:00,2024-01-05 21:48,17.93,2.78,25.58,25.5,Morning,Saturday,29.95,76.88,104.4,38.4,7,DC Fast Charger,Commuter
118,User_118,Chevy Bolt,50,Station_32,Los Angeles,2024-01-05 21:00,2024-01-05 22:59,60.47,3.19,0,15.89,Afternoon,Saturday,74.54,79.37,84.4,32.8,2,Level 1,Casual Driver
119,User_119,Tesla Model 3,50,Station_15,Chicago,2024-01-05 22:00,2024-01-06 01:49,17.7,3.46,19.71,19.92,Afternoon,Tuesday,47.81,79.37,258.6,-9.3,7,DC Fast Charger,Commuter
120,User_120,Nissan Leaf,63,Station_62,Houston,2024-01-05 23:00,2024-01-06 00:20,47.71,1.18,0,15.35,Night,Wednesday,49.54,57.94,214.5,34.3,1,DC Fast Charger,Casual Driver
121,User_121,Nissan Leaf,85,Station_155,Los Angeles,2024-01-06 00:00,2024-01-06 03:25,71.19,1.43,10.3,5.14,Morning,Friday,36.88,73.97,276.2,-4.8,6,Level 1,Commuter
122,User_122,BMW i3,75,Station_284,Los Angeles,2024-01-06 01:00,2024-01-06 03:11,39.64,1.93,13.8,6.97,Afternoon,Wednesday,20.42,57.5,0,22.6,6,Level 2,Casual Driver
123,User_123,Hyundai Kona,62,Station_209,Chicago,2024-01-06 02:00,2024-01-06 05:47,24.85,3.32,32.24,19.91,Morning,Wednesday,60.67,53.93,260.7,11.2,3,DC Fast Charger,Casual Driver
124,User_124,Chevy Bolt,50,Station_320,Chicago,2024-01-06 03:00,2024-01-06 05:15,7.52,3.42,10.62,34.76,Night,Sunday,61.76,83.21,126.6,9.8,6,Level 1,Casual Driver
125,User_125,Tesla Model 3,75,Station_494,Houston,2024-01-06 04:00,2024-01-06 07:42,64.42,3.19,24.62,29,Evening,Friday,49.17,62.34,230.5,25.3,2,Level 1,Long-Distance Traveler
126,User_126,BMW i3,85,Station_187,New York,2024-01-06 05:00,2024-01-06 06:29,6.19,1.29,19.72,20.86,Afternoon,Friday,34.6,101.68,275.7,5.7,1,Level 1,Casual Driver
127,User_127,Hyundai Kona,100,Station_498,New York,2024-01-06 06:00,2024-01-06 07:15,37.79,3.62,36,29.12,Afternoon,Monday,88.04,61.07,66,-0.3,1,DC Fast Charger,Casual Driver
128,User_128,BMW i3,85,Station_442,San Francisco,2024-01-06 07:00,2024-01-06 08:05,9.15,2.58,34.05,27.67,Evening,Tuesday,71.45,50.02,223.1,-1.1,2,DC Fast Charger,Long-Distance Traveler
129,User_129,Hyundai Kona,93,Station_130,Los Angeles,2024-01-06 08:00,2024-01-06 11:35,15.66,3.14,7.7,32.14,Afternoon,Wednesday,30.88,51.48,202.1,29.5,2,DC Fast Charger,Long-Distance Traveler
130,User_130,Hyundai Kona,50,Station_127,Houston,2024-01-06 09:00,2024-01-06 12:53,35.55,3.54,45.86,23.37,Night,Tuesday,85.49,74.66,275.6,26.1,4,Level 1,Commuter
